Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10	gauge_11	gauge_12	gauge_13	gauge_14	gauge_15	gauge_16	gauge_17	gauge_18	gauge_19	gauge_20	gauge_21	gauge_22	gauge_23	gauge_24	gauge_25	gauge_26	gauge_27	gauge_28	gauge_29	gauge_30	gauge_31	gauge_32	gauge_33	gauge_34	gauge_35	gauge_36	gauge_37	gauge_38	gauge_39	gauge_40	gauge_41	gauge_42	gauge_43	gauge_44	gauge_45	gauge_46	gauge_47	gauge_48	gauge_49	gauge_50	gauge_51	gauge_52	gauge_53	gauge_54	gauge_55	gauge_56	gauge_57	gauge_58	gauge_59	gauge_60	gauge_61	gauge_62	gauge_63	gauge_64	gauge_65	gauge_66	gauge_67	gauge_68	gauge_69	gauge_70	gauge_71	gauge_72	gauge_73	gauge_74	gauge_75	gauge_76	gauge_77	gauge_78	gauge_79
5.10702	0.0062991	0.00501355	0.00383195	0.002769	0.00184266	0.000981103	0.000294822	-0.000259658	-0.000684256	-0.000972524	-0.00115864	-0.00125633	-0.00127734	-0.00124349	-0.00116647	-0.00105797	-0.00093605	-0.000806059	-0.000673866	-0.000547352	-0.000428989	-0.000319421	-0.000218802	-0.000123702	-4.24254e-05	2.84817e-05	8.34536e-05	0.000127138	0.000160613	0.000185076	0.000201745	0.00021192	0.000215394	0.000213793	0.000208072	0.000199685	0.000189513	0.000178024	0.000165682	0.000152927	0.000140147	0.000127622	0.000115522	0.000103985	9.30857e-05	8.29049e-05	7.3492e-05	6.48463e-05	5.69739e-05	4.98541e-05	4.34381e-05	3.77003e-05	3.26047e-05	2.80956e-05	2.41298e-05	2.06613e-05	1.76353e-05	1.50088e-05	1.27399e-05	1.07833e-05	9.10505e-06	7.66762e-06	6.44156e-06	5.39987e-06	4.51567e-06	3.768e-06	3.13802e-06	2.60754e-06	2.1624e-06	1.7901e-06	1.47884e-06	1.21944e-06	1.00394e-06	8.2492e-07	6.76668e-07	5.54245e-07	4.53146e-07	3.69901e-07	3.01541e-07	2.45393e-07
5.1203	0.00662149	0.0053272	0.00412684	0.00303628	0.00207821	0.00118435	0.000459374	-0.000130062	-0.000585673	-0.000902833	-0.00111309	-0.00123049	-0.00126848	-0.00124722	-0.00117947	-0.00107803	-0.000960583	-0.000833177	-0.000702091	-0.00057588	-0.00045702	-0.000346058	-0.000243027	-0.000145159	-6.15251e-05	1.20251e-05	6.99051e-05	0.000116295	0.000152254	0.000178949	0.000197573	0.000209377	0.00021429	0.000213783	0.000208947	0.000201243	0.000191579	0.000180456	0.000168359	0.000155747	0.000143034	0.000130523	0.000118386	0.000106769	9.57542e-05	8.54312e-05	7.58581e-05	6.7041e-05	5.89926e-05	5.16955e-05	4.51036e-05	3.91955e-05	3.39383e-05	2.92779e-05	2.51724e-05	2.15764e-05	1.84346e-05	1.5704e-05	1.33422e-05	1.13031e-05	9.55216e-06	8.05082e-06	6.76893e-06	5.67873e-06	4.75248e-06	3.96853e-06	3.30741e-06	2.75022e-06	2.2823e-06	1.89063e-06	1.5629e-06	1.2896e-06	1.06236e-06	8.73462e-07	7.16919e-07	5.87561e-07	4.80665e-07	3.92588e-07	3.20214e-07	2.60733e-07
5.13358	0.00694625	0.00564522	0.00442735	0.00331011	0.00232009	0.00139578	0.000631758	7.38613e-06	-0.000479342	-0.000826322	-0.00106155	-0.00119951	-0.00125535	-0.00124794	-0.0011901	-0.00109656	-0.000984169	-0.000859815	-0.000730223	-0.000604565	-0.000485353	-0.000373072	-0.000267643	-0.000167182	-8.13056e-05	-5.19942e-06	5.56608e-05	0.000104813	0.000143314	0.000172304	0.000192944	0.000206425	0.000212847	0.000213495	0.000209618	0.000202652	0.000193539	0.000182816	0.000170992	0.000158547	0.000145921	0.000133437	0.000121276	0.000109587	9.84627e-05	8.80015e-05	7.82702e-05	6.92824e-05	6.10574e-05	5.35817e-05	4.68121e-05	4.07313e-05	3.53099e-05	3.04955e-05	2.62474e-05	2.25208e-05	1.92605e-05	1.6423e-05	1.39658e-05	1.18418e-05	1.0016e-05	8.4487e-06	7.10915e-06	5.96879e-06	4.999e-06	4.17747e-06	3.48403e-06	2.89912e-06	2.40751e-06	1.99568e-06	1.65083e-06	1.36302e-06	1.12355e-06	9.24343e-07	7.5914e-07	6.22532e-07	5.09569e-07	4.16434e-07	3.39854e-07	2.76877e-07
5.14687	0.00727249	0.00596689	0.00473295	0.00359009	0.00256828	0.00161521	0.000812001	0.000152841	-0.000365158	-0.000742815	-0.00100381	-0.00116319	-0.00123777	-0.00124533	-0.00119822	-0.00111338	-0.00100664	-0.000885837	-0.000758155	-0.000633314	-0.000513913	-0.000400407	-0.000292623	-0.000189762	-0.000101743	-2.31641e-05	4.07263e-05	9.2688e-05	0.000133785	0.000165126	0.00018784	0.000203049	0.000211046	0.000212913	0.000210071	0.000203896	0.000195377	0.000185092	0.000173572	0.00016132	0.0001488	0.000136361	0.000124187	0.000112436	0.000101209	9.06137e-05	8.0727e-05	7.15695e-05	6.31678e-05	5.55127e-05	4.85637e-05	4.23083e-05	3.67203e-05	3.17491e-05	2.73555e-05	2.34956e-05	2.01138e-05	1.71669e-05	1.46117e-05	1.24003e-05	1.04973e-05	8.86198e-06	7.46287e-06	6.27063e-06	5.25577e-06	4.39528e-06	3.66832e-06	3.05461e-06	2.53837e-06	2.10557e-06	1.74287e-06	1.43994e-06	1.1877e-06	9.77721e-07	8.03465e-07	6.59272e-07	5.39957e-07	4.41521e-07	3.60531e-07	2.93884e-07
5.16015	0.0075993	0.00629145	0.00504309	0.00387579	0.00282273	0.00184241	0.00100015	0.000306429	-0.000243037	-0.000652147	-0.000939688	-0.00112135	-0.00121555	-0.00123905	-0.00120369	-0.00112829	-0.00102784	-0.000911105	-0.000785776	-0.000662034	-0.00054262	-0.000428001	-0.00031794	-0.000212885	-0.000122805	-4.19036e-05	2.51054e-05	7.99141e-05	0.000123654	0.000157403	0.000182246	0.000199234	0.00020887	0.000212016	0.000210305	0.000204961	0.00019708	0.000187272	0.000176089	0.000164057	0.000151666	0.000139288	0.000127115	0.000115312	0.000103989	9.32658e-05	8.32268e-05	7.39014e-05	6.53232e-05	5.7488e-05	5.03586e-05	4.39267e-05	3.81698e-05	3.30393e-05	2.84976e-05	2.45015e-05	2.09956e-05	1.79364e-05	1.52805e-05	1.29794e-05	1.09968e-05	9.29136e-06	7.83073e-06	6.58484e-06	5.52331e-06	4.62243e-06	3.86067e-06	3.21705e-06	2.67519e-06	2.22055e-06	1.83926e-06	1.52055e-06	1.25499e-06	1.03375e-06	8.50027e-07	6.97894e-07	5.71926e-07	4.67931e-07	3.82312e-07	3.11813e-07
5.17343	0.00792574	0.00661813	0.00535717	0.00416679	0.0030834	0.00207711	0.0011962	0.000468273	-0.000112914	-0.000554165	-0.000869001	-0.00107381	-0.00118852	-0.00122876	-0.00120641	-0.00114114	-0.00104761	-0.000935483	-0.000812974	-0.000690632	-0.000571397	-0.000455795	-0.000343566	-0.000236537	-0.000144469	-6.14077e-05	8.80324e-06	6.64888e-05	0.000112914	0.00014912	0.000176146	0.000194965	0.000206303	0.00021079	0.000210317	0.000205832	0.000198636	0.000189345	0.000178534	0.00016675	0.000154513	0.000142213	0.000130055	0.000118211	0.000106802	9.59556e-05	8.57681e-05	7.62768e-05	6.75229e-05	5.95075e-05	5.21967e-05	4.55868e-05	3.96589e-05	3.43668e-05	2.96744e-05	2.55394e-05	2.19065e-05	1.87323e-05	1.59732e-05	1.35798e-05	1.15153e-05	9.73752e-06	8.21335e-06	6.912e-06	5.80214e-06	4.85938e-06	4.06151e-06	3.38679e-06	2.81829e-06	2.34091e-06	1.94024e-06	1.60507e-06	1.32559e-06	1.09259e-06	8.98958e-07	7.38512e-07	6.0557e-07	4.95746e-07	4.05269e-07	3.30721e-07
5.18672	0.00825086	0.00694613	0.00567455	0.00446267	0.00335013	0.00231905	0.00140016	0.000638593	2.52108e-05	-0.000448742	-0.000791591	-0.00102041	-0.0011565	-0.00121422	-0.00120632	-0.00115173	-0.00106578	-0.000958828	-0.000839629	-0.000719006	-0.00060016	-0.000483723	-0.000369464	-0.000260696	-0.000166712	-8.16209e-05	-8.18604e-06	5.24094e-05	0.000101556	0.000140267	0.000169525	0.000190231	0.000203329	0.000209224	0.000210061	0.000206498	0.000200031	0.0001913	0.000180896	0.000169392	0.000157333	0.000145132	0.000133004	0.00012113	0.000109643	9.86808e-05	8.83491e-05	7.86946e-05	6.97662e-05	6.15706e-05	5.40779e-05	4.72888e-05	4.11883e-05	3.57323e-05	3.08866e-05	2.66101e-05	2.28475e-05	1.95556e-05	1.66905e-05	1.42022e-05	1.20535e-05	1.02011e-05	8.61137e-06	7.25265e-06	6.09276e-06	5.10659e-06	4.27124e-06	3.56421e-06	2.968e-06	2.46693e-06	2.04605e-06	1.69371e-06	1.39969e-06	1.15439e-06	9.50394e-07	7.8124e-07	6.40988e-07	5.25048e-07	4.2947e-07	3.50669e-07
5.2	0.00857373	0.00727462	0.0059946	0.00476301	0.00362268	0.00256794	0.00161203	0.00081727	0.000171481	-0.00033578	-0.00070732	-0.000961005	-0.00111929	-0.00119533	-0.00120302	-0.00115994	-0.00108219	-0.000980998	-0.00086562	-0.000747055	-0.000628825	-0.000511723	-0.000395604	-0.000285338	-0.000189508	-0.000102517	-2.58423e-05	3.76754e-05	8.9574e-05	0.000130832	0.00016237	0.000185018	0.000199932	0.000207307	0.000209511	0.000206948	0.000201252	0.000193123	0.000183166	0.000171975	0.000160121	0.000148037	0.000135955	0.000124065	0.000112509	0.000101439	9.09681e-05	8.11537e-05	7.20523e-05	6.36772e-05	5.60023e-05	4.9033e-05	4.27583e-05	3.71363e-05	3.2135e-05	2.77143e-05	2.38193e-05	2.0407e-05	1.74333e-05	1.48475e-05	1.26121e-05	1.06829e-05	9.02539e-06	7.60737e-06	6.39569e-06	5.36451e-06	4.49026e-06	3.74967e-06	3.12461e-06	2.59889e-06	2.15694e-06	1.78668e-06	1.47747e-06	1.21932e-06	1.00447e-06	8.26195e-07	6.7828e-07	5.55922e-07	4.54988e-07	3.71716e-07
5.21429	0.00891745	0.00762749	0.00634093	0.0050903	0.00392185	0.0028428	0.00184832	0.00101848	0.000337585	-0.000206044	-0.000609151	-0.000890472	-0.0010735	-0.00117011	-0.00119564	-0.00116607	-0.00109776	-0.00100342	-0.000892721	-0.000776755	-0.000659452	-0.000541839	-0.000423938	-0.000312325	-0.000214592	-0.000125649	-4.56053e-05	2.11256e-05	7.60104e-05	0.000120048	0.000154086	0.000178885	0.00019581	0.000204853	0.000208579	0.000207198	0.000202367	0.000194932	0.000185497	0.000174678	0.000163075	0.000151141	0.000139126	0.000127233	0.000115616	0.000104437	9.38235e-05	8.38411e-05	7.4556e-05	6.59888e-05	5.81183e-05	5.09545e-05	4.44908e-05	3.86883e-05	3.35172e-05	2.89388e-05	2.48985e-05	2.13537e-05	1.82603e-05	1.5567e-05	1.32356e-05	1.12212e-05	9.48854e-06	8.0046e-06	6.73526e-06	5.65393e-06	4.73626e-06	3.95815e-06	3.30084e-06	2.7475e-06	2.28193e-06	1.89156e-06	1.56529e-06	1.29267e-06	1.06561e-06	8.77066e-07	7.2051e-07	5.90911e-07	4.83926e-07	3.95602e-07
5.22857	0.0092562	0.00797883	0.00668868	0.00542156	0.00422714	0.00312485	0.00209359	0.00122913	0.000513483	-6.72766e-05	-0.000502679	-0.00081259	-0.00102127	-0.00113943	-0.00118366	-0.00116911	-0.00111091	-0.00102413	-0.00091874	-0.000805815	-0.000689749	-0.000571872	-0.000452466	-0.00033979	-0.000240249	-0.00014944	-6.62109e-05	3.82246e-06	6.1713e-05	0.000108569	0.000145154	0.000172171	0.000191163	0.000201962	0.000207263	0.000207186	0.00020325	0.000196562	0.000187696	0.000177291	0.000165972	0.000154215	0.000142289	0.000130409	0.000118745	0.000107468	9.67179e-05	8.65728e-05	7.71071e-05	6.83493e-05	6.02838e-05	5.29251e-05	4.62713e-05	4.02864e-05	3.49428e-05	3.02039e-05	2.60153e-05	2.23349e-05	1.91187e-05	1.63147e-05	1.38845e-05	1.17821e-05	9.97172e-06	8.41949e-06	7.09033e-06	5.95687e-06	4.99402e-06	4.17683e-06	3.48586e-06	2.90367e-06	2.4134e-06	2.00198e-06	1.65782e-06	1.37003e-06	1.13015e-06	9.30805e-07	7.65157e-07	6.2793e-07	5.14568e-07	4.20913e-07
