Time	gauge_0
-1	10
-2	0
-3	0
15.0105	0.017855
15.0145	0.018466
15.0189	0.0191713
15.0238	0.0199706
15.0287	0.0207862
15.033	0.0215131
15.0369	0.0221982
15.0406	0.0228446
15.0442	0.0234686
15.0476	0.0240704
15.0508	0.0246508
15.054	0.0252222
15.0571	0.0257841
15.0601	0.0263361
15.0631	0.0268668
15.0659	0.0273878
15.0687	0.0278994
15.0714	0.0284013
15.0741	0.0288938
15.0767	0.0293766
15.0793	0.0298498
15.0818	0.0303133
15.0843	0.030777
15.0868	0.0312308
15.0893	0.0316847
15.0917	0.0321385
15.0941	0.0325821
15.0965	0.0330156
15.0988	0.0334487
15.1011	0.0338716
15.1034	0.034294
15.1057	0.034706
15.1079	0.0351077
15.1101	0.0355087
15.1122	0.0358993
15.1143	0.0362799
15.1164	0.0366597
15.1184	0.0370296
15.1204	0.0373898
15.1224	0.0377492
15.1243	0.0380987
15.1263	0.0384475
15.1282	0.0387954
15.1301	0.0391331
15.132	0.0394697
15.1338	0.0397963
15.1357	0.0401217
15.1375	0.0404461
15.1393	0.0407601
15.1411	0.041073
15.1429	0.0413849
15.1447	0.0416956
15.1464	0.0420052
15.1482	0.0423037
15.1499	0.042601
15.1516	0.0428972
15.1534	0.0431921
15.1551	0.0434858
15.1568	0.0437782
15.1585	0.0440582
15.1601	0.0443368
15.1618	0.0446142
15.1635	0.0448901
15.165	0.0451527
15.1666	0.0454141
15.1682	0.0456741
15.1698	0.0459327
15.1714	0.04619
15.1729	0.0464324
15.1744	0.0466736
15.1759	0.0469135
15.1774	0.0471521
15.1789	0.0473893
15.1804	0.0476253
15.1818	0.0478431
15.1832	0.0480596
15.1846	0.048275
15.186	0.048489
15.1874	0.0487018
15.1888	0.0489133
15.1902	0.0491234
15.1916	0.0493322
15.193	0.0495395
15.1944	0.0497455
15.1958	0.0499501
15.1972	0.0501532
15.1986	0.0503549
15.2	0.0505551
15.2014	0.0507539
15.2028	0.0509499
15.2042	0.0511444
15.2056	0.0513361
15.2069	0.0515262
15.2083	0.0517135
15.2097	0.0518993
15.211	0.0520836
15.2124	0.052265
15.2138	0.0524449
15.2151	0.0526233
15.2165	0.0527988
15.2178	0.0529728
15.2192	0.053144
15.2205	0.0533135
15.2218	0.0534802
15.2232	0.0536454
15.2245	0.0538089
15.2258	0.0539696
15.2271	0.0541286
15.2284	0.0542861
15.2298	0.0544419
15.2311	0.0545949
15.2324	0.0547463
15.2337	0.054896
15.235	0.055044
15.2363	0.0551904
15.2376	0.0553351
15.2389	0.055477
15.2402	0.0556172
15.2415	0.0557557
15.2428	0.0558924
15.2441	0.0560263
15.2454	0.0561585
15.2467	0.0562889
15.248	0.0564165
15.2492	0.0565424
15.2505	0.0566666
15.2518	0.056789
15.2531	0.0569086
15.2543	0.0570264
15.2556	0.0571425
15.2569	0.0572558
15.2581	0.0573674
15.2594	0.0574772
15.2606	0.0575842
15.2619	0.0576895
15.2631	0.0577931
15.2643	0.0578941
15.2656	0.0579934
15.2668	0.05809
15.268	0.058185
15.2692	0.0582783
15.2704	0.0583691
15.2717	0.058458
15.2729	0.0585453
15.2741	0.0586307
15.2753	0.0587135
15.2765	0.0587946
15.2777	0.0588739
15.2789	0.0589515
15.2801	0.0590273
15.2813	0.0591006
15.2824	0.0591721
15.2836	0.0592419
15.2848	0.0593099
15.286	0.0593754
15.2872	0.0594392
15.2883	0.0595012
15.2895	0.0595616
15.2907	0.0596202
15.2919	0.059677
15.293	0.0597316
15.2942	0.0597844
15.2954	0.0598355
15.2965	0.059885
15.2977	0.0599327
15.2988	0.0599787
15.3	0.0600229
15.3012	0.0600653
15.3023	0.0601059
15.3035	0.0601447
15.3047	0.0601816
15.3058	0.0602168
15.307	0.0602501
15.3081	0.0602816
15.3093	0.0603113
15.3105	0.0603391
15.3116	0.0603651
15.3128	0.0603893
15.314	0.0604117
15.3151	0.0604324
15.3163	0.0604514
15.3174	0.0604686
15.3186	0.0604842
15.3198	0.060498
15.3209	0.06051
15.3221	0.0605203
15.3232	0.0605289
15.3244	0.0605359
15.3255	0.0605412
15.3267	0.0605448
15.3278	0.0605467
15.3289	0.0605469
15.3301	0.0605453
15.3312	0.0605421
15.3324	0.0605371
15.3335	0.0605305
15.3347	0.060522
15.3358	0.0605119
15.337	0.0604999
15.3381	0.0604862
15.3393	0.0604707
15.3404	0.0604534
15.3416	0.0604343
15.3427	0.0604135
15.3438	0.0603909
15.345	0.0603664
15.3462	0.0603396
15.3473	0.060311
15.3485	0.0602805
15.3497	0.0602481
15.3508	0.0602139
15.352	0.0601778
15.3532	0.0601399
15.3544	0.0601001
15.3555	0.0600586
15.3567	0.0600152
15.3579	0.05997
15.359	0.0599231
15.3602	0.0598729
15.3614	0.0598207
15.3626	0.0597667
15.3639	0.0597108
15.3651	0.059653
15.3663	0.0595932
15.3675	0.0595315
15.3687	0.059468
15.3699	0.0594025
15.3711	0.0593351
15.3723	0.0592658
15.3735	0.0591914
15.3748	0.0591148
15.3761	0.0590363
15.3773	0.0589557
15.3786	0.0588732
15.3798	0.0587886
15.3811	0.0587021
15.3824	0.0586136
15.3836	0.0585232
15.3849	0.0584309
15.3861	0.0583366
15.3874	0.0582404
15.3887	0.0581422
15.3899	0.0580422
15.3912	0.0579403
15.3924	0.0578364
15.3937	0.0577307
15.395	0.0576232
15.3962	0.0575137
15.3975	0.0574024
15.3987	0.0572892
15.4	0.0571742
15.4014	0.0570445
15.4028	0.0569096
15.4043	0.0567714
15.4057	0.0566297
15.4072	0.0564846
15.4086	0.056336
15.4101	0.0561837
15.4116	0.0560278
15.4131	0.0558681
15.4147	0.0557045
15.4162	0.0555371
15.4177	0.0553657
15.4193	0.0551902
15.4209	0.0550106
15.4224	0.0548268
15.424	0.0546388
15.4257	0.0544445
15.4273	0.0542457
15.429	0.0540442
15.4306	0.053838
15.4323	0.0536271
15.434	0.0534113
15.4357	0.0531905
15.4374	0.0529693
15.4391	0.05275
15.4407	0.0525304
15.4423	0.052313
15.4439	0.0520955
15.4455	0.0518757
15.4471	0.0516561
15.4486	0.0514343
15.4502	0.0512128
15.4518	0.0509917
15.4533	0.0507709
15.4548	0.0505506
15.4563	0.0503285
15.4578	0.0501071
15.4593	0.0498863
15.4608	0.0496638
15.4622	0.0494398
15.4637	0.0492166
15.4652	0.0489919
15.4666	0.0487657
15.4681	0.0485405
15.4695	0.0483138
15.471	0.0480882
15.4724	0.0478611
15.4738	0.0476327
15.4753	0.047403
15.4767	0.0471719
15.4781	0.0469394
15.4796	0.0467057
15.481	0.0464706
15.4824	0.0462343
15.4839	0.0459967
15.4853	0.0457579
15.4867	0.0455178
15.4882	0.0452766
15.4896	0.0450341
15.491	0.0447905
15.4925	0.0445458
15.4939	0.0443
15.4953	0.0440532
15.4968	0.0438053
15.4982	0.0435565
15.4996	0.0433067
15.5011	0.0430558
15.5025	0.0428041
15.5039	0.0425513
15.5054	0.0422976
15.5068	0.0420431
15.5082	0.0417876
15.5097	0.0415313
15.5111	0.0412741
15.5126	0.0410161
15.514	0.0407573
15.5154	0.0404977
15.5169	0.040233
15.5183	0.0399675
15.5198	0.0397013
15.5213	0.0394345
15.5227	0.039167
15.5242	0.0388989
15.5256	0.0386302
15.5271	0.0383608
15.5285	0.0380908
15.53	0.0378202
15.5315	0.037549
15.5329	0.0372772
15.5344	0.0370049
15.5358	0.0367322
15.5373	0.0364589
15.5388	0.0361851
15.5402	0.0359108
15.5417	0.035636
15.5431	0.0353608
15.5446	0.0350851
15.546	0.034816
15.5474	0.0345466
15.5488	0.0342769
15.5503	0.0340068
15.5516	0.033744
15.553	0.0334809
15.5544	0.0332251
15.5557	0.0329692
15.5571	0.0327132
15.5584	0.0324649
15.5597	0.0322166
15.561	0.0319681
15.5623	0.0317197
15.5636	0.0314711
15.5649	0.0312226
15.5662	0.030974
15.5675	0.0307255
15.5688	0.0304769
15.57	0.0302384
15.5712	0.0300094
15.5724	0.0297805
15.5736	0.0295517
15.5748	0.029333
15.5759	0.0291143
15.5771	0.0288958
15.5782	0.0286775
15.5793	0.0284703
15.5804	0.0282632
15.5815	0.0280564
15.5826	0.0278497
15.5837	0.0276432
15.5847	0.0274369
15.5858	0.0272308
15.5869	0.027025
15.588	0.0268194
15.5891	0.026614
15.5902	0.0264088
15.5913	0.0262039
15.5924	0.0259992
15.5935	0.0257947
15.5946	0.0255905
15.5956	0.0253865
15.5967	0.0251828
15.5978	0.0249793
15.5989	0.0247761
15.6	0.0245732
15.6012	0.0243492
15.6024	0.0241216
15.6037	0.0238932
15.6049	0.023664
15.6062	0.023434
15.6074	0.0232019
15.6087	0.022969
15.61	0.0227354
15.6113	0.022501
15.6126	0.0222642
15.6139	0.0220266
15.6152	0.0217881
15.6166	0.0215487
15.6179	0.0213083
15.6193	0.0210689
15.6206	0.0208302
15.622	0.0205925
15.6233	0.0203537
15.6247	0.020116
15.626	0.0198794
15.6274	0.019644
15.6288	0.0194073
15.6301	0.0191711
15.6315	0.0189355
15.6329	0.0186983
15.6343	0.0184616
15.6357	0.0182252
15.6371	0.0179871
15.6384	0.0177493
15.6398	0.0175117
15.6412	0.0172724
15.6426	0.0170332
15.6441	0.0167942
15.6455	0.0165553
15.6469	0.0163145
15.6483	0.0160737
15.6497	0.0158331
15.6511	0.0155906
15.6526	0.0153484
15.654	0.0151067
15.6555	0.0148631
15.6569	0.0146201
15.6584	0.0143755
15.6598	0.0141318
15.6613	0.0138866
15.6628	0.0136425
15.6643	0.0133968
15.6658	0.0131522
15.6673	0.0129058
15.6688	0.0126604
15.6703	0.0124132
15.6718	0.0121669
15.6734	0.0119186
15.6749	0.0116681
15.6765	0.0114185
15.6781	0.0111665
15.6797	0.0109109
15.6813	0.0106543
15.6829	0.010394
15.6846	0.0101308
15.6862	0.00986867
15.6879	0.00960397
15.6896	0.00933679
15.6913	0.00907134
15.693	0.00880363
15.6947	0.00853808
15.6965	0.00827482
15.6982	0.00801399
15.6999	0.00775571
15.7016	0.00750474
15.7033	0.00725722
15.705	0.00701746
15.7066	0.0067814
15.7083	0.00655309
15.7099	0.00632834
15.7115	0.00610714
15.7132	0.0058934
15.7148	0.00568304
15.7163	0.00548008
15.7179	0.00528072
15.7195	0.00508505
15.7211	0.00489306
15.7227	0.00470477
15.7242	0.00452014
15.7258	0.0043428
15.7273	0.00416889
15.7289	0.00399833
15.7304	0.00383108
15.732	0.00366709
15.7335	0.00350633
15.7351	0.00334876
15.7366	0.00319059
15.7382	0.00303639
15.7398	0.0028876
15.7414	0.00274554
15.743	0.00261001
15.7446	0.00248086
15.7461	0.00235785
15.7477	0.0022407
15.7494	0.00212569
15.751	0.00201631
15.7526	0.00191226
15.7543	0.00181326
15.7559	0.00171901
15.7576	0.0016258
15.7593	0.00153711
15.761	0.00145281
15.7627	0.00137295
15.7644	0.00129747
15.7662	0.00122258
15.7679	0.00115192
15.7697	0.00108522
15.7715	0.00102221
15.7733	0.000962641
15.7752	0.000902286
15.7771	0.000845351
15.779	0.000791593
15.7809	0.000740785
15.7828	0.000692718
15.7847	0.000647243
15.7866	0.000604387
15.7886	0.000564168
15.7905	0.000526403
15.7924	0.00049092
15.7943	0.00045756
15.7962	0.000426171
15.7981	0.000396617
15.8	0.000368769
15.8022	0.000338882
15.8046	0.000307484
15.8073	0.000275096
15.8101	0.000245201
15.8128	0.000218504
15.8155	0.000195039
15.8182	0.000174405
15.8209	0.000156248
15.8235	0.000140024
15.8261	0.000125741
15.8287	0.000112959
15.8313	0.000101519
15.8338	9.14283e-05
15.8364	8.23756e-05
15.8389	7.42527e-05
15.8415	6.70745e-05
15.844	6.06199e-05
15.8465	5.48153e-05
15.849	4.95948e-05
15.8515	4.49753e-05
15.854	4.08137e-05
15.8564	3.70643e-05
15.8589	3.36853e-05
15.8614	3.06386e-05
15.8639	2.78905e-05
15.8663	2.54105e-05
15.8688	2.31714e-05
15.8713	2.11488e-05
15.8738	1.93207e-05
15.8762	1.76674e-05
15.8787	1.61715e-05
15.8812	1.48168e-05
15.8837	1.35889e-05
15.8861	1.24749e-05
15.8886	1.14635e-05
15.8911	1.05443e-05
15.8936	9.70826e-06
15.896	8.94717e-06
15.8985	8.25377e-06
15.901	7.62149e-06
15.9035	7.04438e-06
15.906	6.50339e-06
15.9085	6.00974e-06
15.9111	5.55878e-06
15.9136	5.14638e-06
15.9162	4.76887e-06
15.9187	4.42295e-06
15.9212	4.10566e-06
15.9238	3.81436e-06
15.9263	3.54667e-06
15.9289	3.30043e-06
15.9313	3.08145e-06
15.9338	2.87912e-06
15.9362	2.69209e-06
15.9386	2.52543e-06
15.941	2.37074e-06
15.9433	2.22707e-06
15.9457	2.09356e-06
15.948	1.96942e-06
15.9504	1.85391e-06
15.9528	1.74638e-06
15.9551	1.64622e-06
15.9574	1.55747e-06
15.9596	1.4744e-06
15.9619	1.39657e-06
15.9641	1.32363e-06
15.9663	1.2552e-06
15.9686	1.19099e-06
15.9708	1.13068e-06
15.9731	1.07401e-06
15.9753	1.02074e-06
15.9776	9.70622e-07
15.9798	9.23456e-07
15.982	8.79037e-07
15.9843	8.37175e-07
15.9865	7.97695e-07
15.9888	7.60437e-07
15.991	7.25253e-07
15.9933	6.92006e-07
15.9955	6.60572e-07
15.9978	6.30835e-07
16	6.02687e-07
16.0025	-1e+15
16.0052	-1e+15
16.0079	-1e+15
16.0106	-1e+15
16.0134	-1e+15
16.0162	-1e+15
16.0191	-1e+15
16.022	-1e+15
16.025	-1e+15
16.028	-1e+15
16.0311	-1e+15
16.0343	-1e+15
16.0376	-1e+15
16.0409	-1e+15
16.0443	-1e+15
16.0477	-1e+15
16.051	-1e+15
16.0544	-1e+15
16.0579	-1e+15
16.0614	-1e+15
16.065	-1e+15
16.0685	-1e+15
16.0721	-1e+15
16.0757	-1e+15
16.0792	-1e+15
16.0827	-1e+15
16.086	-1e+15
16.0894	-1e+15
16.0926	-1e+15
16.0959	-1e+15
16.0991	-1e+15
16.1025	-1e+15
